,temperature,light_intensity,light_dark_ratio,reactor_type,fermentation_mode,open_close_system,reactor_volume,reaction_volume,initial_OD,special_growth,no3_conc,phosphate_conc,co2_perc,air_bubbling,bubbling_speed (ml/min),hco3_conc,nacl_conc,medium_pH,substrate2,substrate2_conc(mg/L),substrate2_enthalpyFormation,genetic_wt,promoterInducer,inducerConc,genetic_mutation,genetic_heterologousInsertion,genetic_precursor,genetic_enzymaticSteps,productExporter,cofactorEnhance,pathwayOptimized,product,product permeability,numberC,numberH,numberN,numberO,product_enthalpyFormation,OD,growth_rate,product_titer,production_rate,paper,cultivation_time,species,ko genes,ox genes,genetic_knockoutSteps,genetic_heterologousSteps,OE_nativeSteps
2522-gppPS,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,2.039297004,0.051775431,17,60,utex2973,NA,"ggps,ggpp",na,2,0
2522-gppPS,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,2.111212657,0.051775431,17,72,utex2973,NA,"ggps,ggpp",na,2,0
2522-gppPS,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,2.039297004,0.051775431,17,84,utex2973,NA,"ggps,ggpp",na,2,0
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2176,0.005312049,na,0.054166667,1,24,utex2973,NA,"ino1,suhb,sll1981",0,3,na
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005312049,na,0.054166667,1,48,utex2973,NA,"ino1,suhb,sll1981",0,3,na
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4353,0.005312049,na,0.054166667,1,72,utex2973,NA,"ino1,suhb,sll1981",0,3,na
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5,0.005312049,na,0.054166667,1,96,utex2973,NA,"ino1,suhb,sll1981",0,3,na
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.6156,0.005312049,6.5,0.054166667,1,120,utex2973,NA,"ino1,suhb,sll1981",0,3,na
,38,500,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,2.6,0.054166667,16,48,utex2973,NA,"lims,gpps",na,2,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.0769,0.006720464,na,0.066666667,1,24,utex2973,NA,"ino1,suhb,tbips",0,3,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.0915,0.006720464,na,0.066666667,1,48,utex2973,NA,"ino1,suhb,tbips",0,3,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2176,0.006720464,na,0.066666667,1,72,utex2973,NA,"ino1,suhb,tbips",0,3,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3789,0.006720464,na,0.066666667,1,96,utex2973,NA,"ino1,suhb,tbips",0,3,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4204,0.006720464,8,0.066666667,1,120,utex2973,NA,"ino1,suhb,tbips",0,3,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,2,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,3.4,0.070833333,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,3.7,0.077083333,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,3.8,0.079166667,16,48,utex2973,NA,"lims,gpps",na,2,0
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2176,0.005312049,na,0.083333333,1,24,utex2973,NA,"ino1,suhb,sll1772",0,3,na
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005312049,na,0.083333333,1,48,utex2973,NA,"ino1,suhb,sll1772",0,3,na
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4353,0.005312049,na,0.083333333,1,72,utex2973,NA,"ino1,suhb,sll1772",0,3,na
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5,0.005312049,na,0.083333333,1,96,utex2973,NA,"ino1,suhb,sll1772",0,3,na
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.6156,0.005312049,10,0.083333333,1,120,utex2973,NA,"ino1,suhb,sll1772",0,3,na
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.01,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,4.2,0.0875,16,48,utex2973,NA,"lims,gpps",na,2,0
SL3251,38,250,0,2-cylindricalPBR,1-batch,1-open,100,na,0.1,na,247.1,5.43,5,1,na,0,0,na,na,0,0,0,IPTG,0.075,na,2-plasmid,gpp_l-tryptophan,6,na,na,0,Hapalindole H,i,21,24,2,0,na,1.001131256,0.033371042,2.8,0.093333333,29,30,utex2973,NA,"famH1,famH2,famH3,famE2,famD2,famC2,famC3,aph3",na,7,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.01,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,4.8,0.1,16,48,utex2973,NA,"lims,gpps,dxs",na,2,1
,38,500,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,1,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,5.4,0.1125,16,48,utex2973,NA,"lims,gpps",na,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2176,0.005312049,na,0.125,1,24,utex2973,NA,"tbips,suhb",0,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005312049,na,0.125,1,48,utex2973,NA,"tbips,suhb",0,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4353,0.005312049,na,0.125,1,72,utex2973,NA,"tbips,suhb",0,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5,0.005312049,na,0.125,1,96,utex2973,NA,"tbips,suhb",0,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.6156,0.005312049,15,0.125,1,120,utex2973,NA,"tbips,suhb",0,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,6.6,0.1375,16,48,utex2973,NA,"lims,gpps",na,2,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1768,0.004314725,na,0.15,1,24,utex2973,NA,"ino1,suhb,tbips",0,3,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.25,0.004314725,na,0.15,1,48,utex2973,NA,"ino1,suhb,tbips",0,3,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3536,0.004314725,na,0.15,1,72,utex2973,NA,"ino1,suhb,tbips",0,3,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4353,0.004314725,na,0.15,1,96,utex2973,NA,"ino1,suhb,tbips",0,3,0
IST,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5,0.004314725,18,0.15,1,120,utex2973,NA,"ino1,suhb,tbips",0,3,0
ISG,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2031,0.010089238,na,0.1625,1,24,utex2973,NA,glgp,0,2,0
ISG,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3299,0.010089238,na,0.1625,1,48,utex2973,NA,glgp,0,2,0
ISG,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5176,0.010089238,na,0.1625,1,72,utex2973,NA,glgp,0,2,0
ISG,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.7579,0.010089238,na,0.1625,1,96,utex2973,NA,glgp,0,2,0
ISG,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,1,0.010089238,19.5,0.1625,1,120,utex2973,NA,glgp,0,2,0
ISG,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,1.1096,0.010089238,na,0.1625,1,144,utex2973,NA,glgp,0,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,7.8,0.1625,16,48,utex2973,NA,"lims,gpps",na,2,0
jq01-MCR,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,na,0,0,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,0.6,0.033333333,3,0.166666667,9,24,utex2973,NA,"xylEBA,mcr",na,2,0
,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,na,0,0,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,1.4,0.033333333,2,0.166666667,9,48,utex2973,NA,"xylEBA,mcr",na,2,0
,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,na,0,0,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,2.1,0.033333333,6,0.166666667,9,72,utex2973,NA,"xylEBA,mcr",na,2,0
,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,na,0,0,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,2.3,0.033333333,4,0.166666667,9,96,utex2973,NA,"xylEBA,mcr",na,2,0
,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,na,0,0,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,2.5,0.033333333,7,0.166666667,9,120,utex2973,NA,"xylEBA,mcr",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,8.1,0.16875,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,8.3,0.172916667,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,2,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,8.6,0.179166667,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.1,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,9.5,0.197916667,16,48,utex2973,NA,"lims,gpps",na,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1649,0.008356273,na,0.2,1,24,utex2973,NA,"ino1,suhb",0,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.008356273,na,0.2,1,48,utex2973,NA,"ino1,suhb",0,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5,0.008356273,na,0.2,1,72,utex2973,NA,"ino1,suhb",0,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.67,0.008356273,na,0.2,1,96,utex2973,NA,"ino1,suhb",0,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.8706,0.008356273,24,0.2,1,120,utex2973,NA,"ino1,suhb",0,2,0
L524-BA,37,714,0,2-cylindricalPBR,1-batch,1-open,1000,500,2.3,4-OneSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,6.5,0.270833333,5,0.208333333,3,24,utex2973,NA,limonene synthase,0,1,0
L524-BA,37,714,0,2-cylindricalPBR,1-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,8.75,0.270833333,7,0.208333333,3,48,utex2973,NA,limonene synthase,0,1,0
L524-BA,37,574,0,2-cylindricalPBR,1-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,9,0.270833333,8,0.208333333,3,72,utex2973,NA,limonene synthase,0,1,0
L524-BA,37,574,0,2-cylindricalPBR,1-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,8.5,0.270833333,9,0.208333333,3,96,utex2973,NA,limonene synthase,0,1,0
L524-BA,37,574,0,2-cylindricalPBR,1-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,8.3,0.270833333,10,0.208333333,3,120,utex2973,NA,limonene synthase,0,1,0
L524-BA,37,574,0,2-cylindricalPBR,1-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,9,0.270833333,10.5,0.208333333,3,144,utex2973,NA,limonene synthase,0,1,0
L524-BA,37,574,0,2-cylindricalPBR,1-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,9.3,0.270833333,11,0.208333333,3,168,utex2973,NA,limonene synthase,0,1,0
L524-FB,37,714,0,2-cylindricalPBR,2-fed-batch,1-open,1000,500,2.3,4-OneSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,6.5,0.270833333,4.5,0.208333333,3,24,utex2973,NA,limonene synthase,0,1,0
L524-FB,37,714,0,2-cylindricalPBR,2-fed-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,9.5,0.270833333,9,0.208333333,3,48,utex2973,NA,limonene synthase,0,1,0
L524-FB,37,574,0,2-cylindricalPBR,2-fed-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,11,0.270833333,14,0.208333333,3,72,utex2973,NA,limonene synthase,0,1,0
L524-FB,37,574,0,2-cylindricalPBR,2-fed-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,13.2,0.270833333,18.5,0.208333333,3,96,utex2973,NA,limonene synthase,0,1,0
L524-FB,37,574,0,2-cylindricalPBR,2-fed-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,15,0.270833333,22,0.208333333,3,120,utex2973,NA,limonene synthase,0,1,0
L524-FB,37,574,0,2-cylindricalPBR,2-fed-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,16.5,0.270833333,24,0.208333333,3,144,utex2973,NA,limonene synthase,0,1,0
L524-FB,37,574,0,2-cylindricalPBR,2-fed-batch,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,17.75,0.270833333,25.5,0.208333333,3,168,utex2973,NA,limonene synthase,0,1,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,1,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,10,0.208333333,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,1,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,10,0.208333333,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,10.1,0.210416667,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.05,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,10.1,0.210416667,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,1,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,10.7,0.222916667,16,48,utex2973,NA,"lims,gpps",na,2,0
IS1367,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1708,0.007646213,na,0.233333333,1,24,utex2973,NA,slr1367,0,2,0
IS1367,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2973,0.007646213,na,0.233333333,1,48,utex2973,NA,slr1367,0,2,0
IS1367,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4506,0.007646213,na,0.233333333,1,72,utex2973,NA,slr1367,0,2,0
